task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-v1,vitrivr,0,1673259630775,17462,68132.0,inf,inf,inf,4990.0,TEXT,,,{}
vbs23-kis-t1,vitrivr,0,1673260395711,22850,93575.0,3.0,4.0,4.0,4981.0,TEXT,,,{}
vbs23-kis-t1,vitrivr,0,1673260461824,88963,93575.0,10.0,10.0,10.0,4988.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,0,1673260917544,20900,218530.0,200.0,200.0,200.0,4991.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,0,1673260989249,92605,218530.0,71.0,71.0,71.0,4991.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,0,1673261052869,156225,218530.0,68.0,68.0,68.0,4996.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261430505,29206,,342.0,585.0,342.0,4980.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261528404,127105,,20.0,20.0,20.0,4987.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261628459,227160,,50.0,50.0,50.0,4982.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261629995,228696,,50.0,50.0,50.0,4982.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261677279,275980,,2.0,2.0,2.0,4985.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261749744,348445,,2.0,2.0,2.0,4985.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,0,1673261758663,357364,,167.0,167.0,167.0,4983.0,TEXT,,,{}
vbs23-kis-t4,vitrivr,0,1673262350703,27948,114682.0,1611.0,1611.0,1611.0,4967.0,TEXT,,,{}
vbs23-kis-t4,vitrivr,0,1673262410349,87594,114682.0,7.0,289.0,289.0,4972.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,0,1673262862127,35515,115713.0,140.0,1958.0,1958.0,4996.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,0,1673262917861,91249,115713.0,16.0,43.0,43.0,4997.0,TEXT,,,{}
vbs23-kis-t6,vitrivr,0,1673264188944,25570,62587.0,81.0,81.0,81.0,4989.0,TEXT,,,{}
vbs23-kis-v-m1,vitrivr,0,1673270889674,14819,79514.0,180.0,inf,180.0,5000.0,TEXT,,,{}
vbs23-kis-v-m1,vitrivr,0,1673270921836,46981,79514.0,180.0,inf,180.0,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271271231,20869,,inf,inf,inf,4985.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271277713,27351,,32.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271335848,85486,,183.0,inf,inf,905.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271380812,130450,,inf,inf,inf,4985.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271381647,131285,,32.0,inf,inf,7710.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271396731,146369,,834.0,inf,inf,7426.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271400609,150247,,54.0,inf,inf,865.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271414753,164391,,199.0,inf,inf,979.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271415424,165062,,712.0,inf,inf,9757.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271415969,165607,,199.0,inf,inf,979.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271477392,227030,,199.0,inf,inf,979.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271479766,229404,,712.0,inf,inf,9757.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271640028,16371,195733.0,848.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271671745,48088,195733.0,792.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271685874,62217,195733.0,2464.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271753014,129357,195733.0,39.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271761551,137894,195733.0,217.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,0,1673271802474,178817,195733.0,6.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,0,1673271336974,86612,,32.0,inf,inf,7710.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272389876,16691,,2063.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m7,vitrivr,0,1673273137886,15518,21795.0,1.0,inf,1.0,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272426629,53444,,1613.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272457748,84563,,657.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272473578,100393,,657.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272491103,117918,,8649.0,inf,inf,10000.0,SKETCH,,color,{}
vbs23-kis-v-m4,vitrivr,0,1673272581212,208027,,1022.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272591904,218719,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272602177,228992,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272632925,259740,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272635016,261831,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272666690,293505,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272668013,294828,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,0,1673272668397,295212,,641.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m5,vitrivr,0,1673272769808,16518,55816.0,316.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m5,vitrivr,0,1673272778810,25520,55816.0,1420.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m5,vitrivr,0,1673272791490,38200,55816.0,16.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,0,1673276028422,32274,,254.0,inf,254.0,4997.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,0,1673276129241,133093,,202.0,inf,202.0,4995.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,0,1673276238974,242826,,inf,inf,inf,4990.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,0,1673276281760,285612,,2426.0,inf,2426.0,4991.0,TEXT,,,{}
vbs23-kis-v3,vitrivr,0,1673276437761,30890,55218.0,1.0,52.0,52.0,4984.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,0,1673277183236,6023,177416.0,inf,inf,inf,4967.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,0,1673277200196,22983,177416.0,197.0,197.0,197.0,4996.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,0,1673277313829,136616,177416.0,658.0,1546.0,1546.0,4987.0,TEXT,,,{}
vbs23-kis-t7,vitrivr,0,1673277555416,23882,49725.0,2.0,170.0,88.0,4993.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278573007,26766,,1057.0,inf,inf,4972.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278602387,56146,,680.0,4743.0,4743.0,4975.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278644597,98356,,329.0,inf,inf,4981.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278686093,139852,,12.0,165.0,165.0,4983.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278818579,272338,,12.0,165.0,165.0,4983.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,0,1673278842837,296596,,157.0,1705.0,1705.0,9963.0,TEXT,,,{}
vbs23-kis-v6,vitrivr,0,1673278905863,18754,82343.0,3534.0,inf,inf,4995.0,TEXT,,,{}
vbs23-kis-v6,vitrivr,0,1673278930141,43032,82343.0,31.0,31.0,31.0,9959.0,TEXT,,,{}
vbs23-kis-v6,vitrivr,0,1673278946152,59043,82343.0,31.0,31.0,31.0,9959.0,TEXT,,,{}
vbs23-kis-v6,vitrivr,0,1673278948301,61192,82343.0,31.0,31.0,31.0,9959.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,1,1673262885571,58959,115713.0,341.0,341.0,341.0,937.0,TEXT,,,{}
vbs23-kis-v1,vitrivr,1,1673259633272,19959,68132.0,30.0,65.0,65.0,259.0,TEXT,,,{}
vbs23-kis-v1,vitrivr,1,1673259633272,19959,68132.0,30.0,65.0,65.0,259.0,TEXT,,ocr,{}
vbs23-kis-t1,vitrivr,1,1673260420119,47258,93575.0,2.0,10.0,10.0,4991.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,1,1673260931116,34472,218530.0,260.0,260.0,260.0,4993.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,1,1673260974542,77898,218530.0,4.0,4.0,4.0,4997.0,TEXT,,,{}
vbs23-kis-t2,vitrivr,1,1673261047388,150744,218530.0,889.0,889.0,889.0,4995.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,1,1673261433256,31957,,2.0,2.0,2.0,4989.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,1,1673261555203,153904,,66.0,66.0,66.0,4986.0,TEXT,,,{}
vbs23-kis-t3,vitrivr,1,1673261705434,304135,,1451.0,1451.0,1451.0,4979.0,TEXT,,,{}
vbs23-kis-t4,vitrivr,1,1673262361066,38311,114682.0,1389.0,1389.0,1389.0,4962.0,TEXT,,,{}
vbs23-kis-t4,vitrivr,1,1673262434854,112099,114682.0,12.0,449.0,449.0,4966.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,1,1673262877071,50459,115713.0,125.0,inf,inf,1352.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,1,1673262906532,79920,115713.0,341.0,341.0,341.0,937.0,TEXT,,,{}
vbs23-kis-t5,vitrivr,1,1673262936809,110197,115713.0,1.0,1.0,1.0,910.0,TEXT,,,{}
vbs23-kis-t6,vitrivr,1,1673264211641,48267,62587.0,inf,inf,inf,1819.0,TEXT,,,{}
vbs23-kis-v-m1,vitrivr,1,1673270895501,20646,79514.0,46.0,inf,46.0,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,1,1673271276362,26000,,65.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,1,1673271333068,82706,,50.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,1,1673271433281,182919,,50.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,1,1673271451685,201323,,24.0,inf,inf,573.0,TEXT,,,{}
vbs23-kis-v-m2,vitrivr,1,1673271451983,201621,,192.0,inf,inf,935.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,1,1673271648098,24441,195733.0,214.0,inf,inf,604.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,1,1673271714023,90366,195733.0,233.0,inf,inf,573.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,1,1673271714388,90731,195733.0,996.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m3,vitrivr,1,1673271793598,169941,195733.0,400.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,1,1673272391282,18097,,2182.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,1,1673272392902,19717,,2182.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,1,1673272438043,64858,,2484.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m4,vitrivr,1,1673272461729,88544,,2713.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v-m5,vitrivr,1,1673272785740,32450,55816.0,1420.0,inf,inf,5000.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,1,1673276039962,43814,,inf,inf,inf,4998.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,1,1673276116175,120027,,2071.0,inf,2071.0,4994.0,TEXT,,,{}
vbs23-kis-v2,vitrivr,1,1673276204737,208589,,3261.0,inf,3261.0,4989.0,TEXT,,,{}
vbs23-kis-v3,vitrivr,1,1673276443688,36817,55218.0,19.0,40.0,40.0,4985.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,1,1673277210784,33571,177416.0,87.0,87.0,87.0,4995.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,1,1673277270569,93356,177416.0,inf,inf,inf,4988.0,TEXT,,,{}
vbs23-kis-v4,vitrivr,1,1673277311962,134749,177416.0,43.0,43.0,43.0,4992.0,TEXT,,,{}
vbs23-kis-t7,vitrivr,1,1673277570082,38548,49725.0,1.0,22.0,22.0,4992.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,1,1673278598476,52235,,242.0,2816.0,2816.0,9950.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,1,1673278614088,67847,,242.0,2816.0,2816.0,9950.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,1,1673278671514,125273,,40.0,1167.0,1167.0,4981.0,TEXT,,,{}
vbs23-kis-v5,vitrivr,1,1673278736822,190581,,23.0,739.0,739.0,4986.0,TEXT,,,{}
vbs23-kis-v6,vitrivr,1,1673278941455,54346,82343.0,80.0,80.0,80.0,4996.0,TEXT,,,{}
